[lausanne#bar]
Gosses du Québec#6.633205#46.517168##Pub|Bar
Nova#6.633044#46.527089##Cuisine portugaise|Restaurants par spécialité|Bar|Café, Restaurant
Java#6.638574#46.520642#Café-salon#Bar|Café, Restaurant
Bleu Lézard#6.637723#46.52007##Café, Restaurant|Club|Bar|Discothèque
Giraf#6.634288#46.522303#Ahlgren Anders#Bar
Le Qwertz#6.634046#46.518424##Bar
Leonardo#6.628942#46.520772##Café, Restaurant|Bar
Le Garage#6.620647#46.521162#MIVIAL SA#Sex shop|Bar
Le One#6.631203#46.515921##Bar
La Galette#6.636862#46.523653#Tamin Brahim#Bar
Le Cazard#6.629725#46.524124##Café, Restaurant|Bar
Le Gros Minet#6.617074#46.515334#Recordon Pierre-Alain et Michel#Café, Restaurant|Bar
Le Verre à Pied#6.630809#46.52227##Bar
Movida#6.62596#46.523152##Bar|Café, Restaurant
N2O#6.629806#46.520463##Café, Restaurant|Bar
Pibar#6.631235#46.527778##Bar|Café, Restaurant
The Great Escape#6.633018#46.522708##Bar|Café, Restaurant
Jessy Jone's#6.600891#46.523582#Boungab Pernet Zahra#Bar
Bar Tabac#6.634912#46.518053##Bar
Base Bar#6.61855#46.522802##Bar|Café, Restaurant
La Louve#6.632491#46.521328#Rogeiro Salcedas Antonio José#Bar
Café du Pont#6.632924#46.521142#Martella & Lorenzo#Bar|Café, Restaurant
GT's Lounge#6.620844#46.521065#GT's SA#Bar
Hydromel#6.627602#46.524046#Lorenzo Carballo#Bar
L'Oustau#6.653003#46.524971##Café, Restaurant|Bar
La Clef#6.638595#46.518339##Bar
Le Caliméro#6.608246#46.521621#Nekoca Punar#Bar
Le Camarguais#6.635706#46.530356#Vollichard Prisca#Bar
Le Colony#6.635062#46.518485##Bar
Le Comptoir#6.63578#46.525408##Bar|Club
Le Résident#6.629669#46.52353##Bar
Les Boucaniers#6.63833#46.519534##Bar|Café, Restaurant|Pub
Mi Bar Lounge#6.632184#46.520939##Bar
Micky's Bar#6.635942#46.520624##Bar|Café, Restaurant|Take Away
Midi 20#6.63376#46.518368#Au 20 Sàrl#Commerce de Vin|Bar
News 06#6.626316#46.524675##Bar
OKAPI#6.632253#46.528577##Bar
Pin Up Bar#6.639801#46.521416##Bar|Café, Restaurant
G7#6.634806#46.526058#Atcho Najia#Bar|Café, Restaurant
Snap#6.629088#46.516248##Billard|Bar
Tao-Lounge-Bar#6.626799#46.521143#Flowing Groove SA#Bar|Café, Restaurant
Tribeca#6.632579#46.522417##Bar|Café, Restaurant
Aperitivo#6.617466#46.521211##Café, Restaurant
Bowl Bar#6.632348#46.519591##Bowling|Salon de jeux
Kazoku#6.617843#46.527313##Café, Restaurant|Cuisine japonaise|Restaurants par spécialité
Palm Bar#6.62972#46.518384##Bar
Le 71#6.62804#46.523536##Bar|Café, Restaurant
Bamee Bar#6.632382#46.517261##Café, Restaurant
Code bar#6.627562#46.518027##Café, Restaurant
Francesca#6.621451#46.529201#JB Franco-Golay Sàrl#Café, Restaurant|Take Away|Cuisine italienne|Restaurants par spécialité
Le Petit-Bar#6.636083#46.521659##Café, Restaurant|Bar à café
Le Rallye#6.648297#46.528627##Bar à café|Café, Restaurant
Luz-bar#6.629473#46.523591#Schwendimann Raquel#Café, Restaurant
Au Bornéo#6.633618#46.525303#Jaton Françoise#Bar à café
Le 44#6.61286#46.525037#TUROJ Sàrl#Café, Restaurant
Bollywood Bar#6.623235#46.524114#Mohammad Golam Mostafa#
L'Arcadie#6.632452#46.519573##Bar à café
Casablanca#6.618006#46.526856#Soares Maria et Ciro Manuel#Bar à café
Cellier des Bergières#6.618471#46.531447##Bar à café|Commerce de Vin
City Swiss#6.637028#46.520352#Hotels By Fassbind#Bar
L'Oubangui#6.621044#46.540606##Bar à café|Tea-Room
La Diligence#6.610866#46.531806#Mihajlovic Dragica#Bar à café
La Siesta#6.63113#46.521714#Aslan Ismail#Crêperie|Bar à café
Le 421#6.614665#46.524618#Chincarini Fabio#Bar à café
Le Barbare#6.634274#46.522348#Tombolan Marta#Bar à café
le Florida#6.626055#46.511638#Dépraz Jacques#Café, Restaurant|Bar à café
Le Juventino#6.621648#46.527359#Mufale Carmelo#Bar à café
Le Pacific#6.608791#46.518413#Dinc Güngör#Bar à café
Le Pénalty#6.62967#46.530412#Decollogny Patricia#Bar à café|Tea-Room
Legends Sports#6.626799#46.521143#Laurent Jaccard#
Punk Bar#6.629967#46.521049##
Seven Bar#6.634772#46.519536#Ramusa Besim#Café, Restaurant
Symbole#6.633499#46.524511#Oberti Eric#Bar à café
Taco's bar#6.628172#46.521675##
The Brow Bar#6.636974#46.519569##
The Spirit Bar#6.629669#46.52353##
Vintage Wine Bar#6.638243#46.520172##
Time Out#6.660972#46.511055##Café, Restaurant|Bar|Lounge
Bambou#6.653468#46.506461##Café, Restaurant|Bar|Cuisine japonaise|Restaurants par spécialité
la Fleur du Lac#6.509009#46.516695##Bar|Café, Restaurant|Séminaire|Banquet|Hôtel
Au vieux Caveau#6.659397#46.510019#Chez Rony#Café, Restaurant|Bar|Pub
Sueno Latino#6.79683#46.669441#Carlos Costa#Commerce de Vin|Bar
Z'City Bar#6.49905#46.510091#Zimmermann Alain#Lounge|Bar
Le Carrousel de Vidy#6.606048#46.512852##Café, Restaurant
Café la Caleta#6.628762#46.523191#Falcon Maribel#Café, Restaurant
Brummell Night-Club#6.631371#46.51953##Dancing|Cabaret|Night Club|Café, Restaurant
du Raisin#6.632674#46.522193#Hôtel-Café-Restaurant du Raisin SA#Hôtel|Café, Restaurant
Baz'Art Café#6.621381#46.526088#Lorenzo Ramon & Martella Gabriel#Café, Restaurant
Brasserie de Montbenon#6.625025#46.520375##Café, Restaurant
Café des Avenues#6.636838#46.511211##Café, Restaurant
L'AO#6.636671#46.521591##Café, Restaurant
L'éléphant Blanc#6.635279#46.523183##Café, Restaurant
la Bruschetta#6.633425#46.51725#Palasciano Mario-Angelo#Pizzeria|Café, Restaurant
Mövenpick#6.624298#46.508081##Traiteur|Banquet|Fitness-Center|Glaces|Hôtel
le Tokyo#6.625256#46.521447#Sictih SA#Sushi|Café, Restaurant|Cuisine japonaise|Restaurants par spécialité
Sheep's Coffee#6.625942#46.518285##Café, Restaurant
White Horse#6.627244#46.507958##Café, Restaurant
Château#6.634604#46.524752##Café, Restaurant|Brasserie
Chez Jaime#6.627467#46.523514##Café, Restaurant|Cuisine portugaise|Restaurants par spécialité|Pizzeria
le Cyrano#6.635119#46.519862#Selmanaj Skender#Café, Restaurant|Karaoke
Pomodoro della Nona#6.636013#46.521965#BÜTZ Sàrl#Café, Restaurant
